transaction_id,transaction_amount,transaction_hour,distance_from_home_km,merchant_risk_score,transactions_last_24h,device_change_count,account_age_days,failed_attempts,international_transaction,actual_anomaly,transaction_datetime
TXN006253,183.94248716052778,9,10.881114060617934,0.2943353627438273,3,0,2003,0,0,0,2026-02-05 09:52:00
TXN004685,16.876245681202512,22,6.7978861701336735,0.382711397379086,4,0,1487,0,0,0,2026-02-13 22:30:00
TXN001732,26.38891623794363,11,4.676422866346467,0.49294961195555553,4,1,1612,0,0,0,2026-02-05 11:28:00
TXN004743,33.15032002336186,9,19.220548426187932,0.2583465705195255,2,0,764,0,0,0,2026-02-16 09:35:00
TXN004522,66.57415592759995,9,16.656727178687067,0.20116956790750729,3,0,771,0,0,0,2026-01-15 09:32:00
TXN006341,18.140945441234383,14,6.5589124508837555,0.163528170848469,5,1,1462,0,0,0,2026-02-12 14:53:00
TXN000577,38.59603159517831,17,11.784112048251517,0.45092423515805774,4,0,441,1,0,0,2026-03-04 17:55:00
TXN005203,36.493948717455915,10,7.2944966946321035,0.61478216046537,5,1,344,0,0,0,2026-02-26 10:06:00
TXN006364,51.62923400798499,12,10.299516480755356,0.295618354571637,3,0,1888,1,0,0,2026-01-22 12:43:00
TXN000440,31.941113221994193,20,3.1047739741426312,0.21458989410614648,2,0,1902,1,0,0,2026-01-14 20:15:00
TXN002751,103.65408026497227,15,4.968861900289877,0.3820358132731668,3,0,1218,1,0,0,2026-02-22 15:06:00
TXN007488,44.68780836887623,10,3.5679692459787344,0.15069771712094707,4,1,1348,1,0,0,2026-03-08 10:31:00
TXN005273,15.183033353919104,13,6.378327551495432,0.25562252012207765,4,0,177,0,0,0,2026-01-20 13:22:00
TXN005654,68.94822489720084,10,5.700059556668221,0.18699628486988668,4,0,1871,0,0,0,2026-03-02 10:02:00
TXN004000,41.86378483480463,20,4.8619133760973705,0.30509554646370374,4,0,940,1,0,0,2026-02-27 20:53:00
TXN006034,18.560083730528866,18,1.6812750997148078,0.24370531326668388,3,0,99,0,0,0,2026-02-24 18:41:00
TXN000583,49.964273147210584,18,7.388051601078007,0.559098970682008,2,0,220,0,1,0,2026-02-12 18:42:00
TXN009931,380.57004619877335,23,243.7892880614597,0.7601273375268002,17,10,233,3,0,1,2026-02-23 23:30:00
TXN007052,42.92029978066283,7,6.597983050299497,0.49046969150449515,2,1,894,0,0,0,2026-03-21 07:42:00
TXN008159,43.96377323903864,21,4.386209232310137,0.2451675851870105,2,0,907,1,0,0,2026-02-06 21:39:00
TXN009897,304.3203868685861,4,39.588310554257525,0.7960609900252166,21,3,176,1,1,1,2026-03-03 04:43:00
TXN002250,60.28435231238856,20,4.1707139765848895,0.19548627953596487,3,1,2391,0,0,0,2026-01-28 20:36:00
TXN004641,56.209599905082655,8,0.7924626112609511,0.41060886934825325,6,2,521,1,1,0,2026-03-29 08:18:00
TXN009486,76.85223846181347,8,11.56263861595386,0.3301431242776066,4,0,339,0,0,0,2026-01-23 08:28:00
TXN004948,13.908540911591224,11,3.9693752470585704,0.1481984042500206,3,1,1349,0,0,0,2026-01-24 11:24:00
TXN009921,1492.8788286933373,5,87.82652992571246,0.750673453803583,14,4,234,4,0,1,2026-01-31 05:44:00
