transaction_id,transaction_amount,transaction_hour,distance_from_home_km,merchant_risk_score,transactions_last_24h,device_change_count,account_age_days,failed_attempts,international_transaction,actual_anomaly,transaction_datetime,amount_log,is_night,high_velocity,high_distance,model_prediction,predicted_anomaly,anomaly_score
TXN006253,183.94248716052775,9,10.881114060617934,0.2943353627438273,3,0,2003,0,0,0,2026-02-05 09:52:00,5.22004489653169,0,0,0,1,0,-0.21125968394529238
TXN004685,16.876245681202512,22,6.7978861701336735,0.382711397379086,4,0,1487,0,0,0,2026-02-13 22:30:00,2.8834727746108255,0,0,0,1,0,-0.23151664110514508
TXN001732,26.38891623794363,11,4.676422866346467,0.4929496119555555,4,1,1612,0,0,0,2026-02-05 11:28:00,3.310138414691636,0,0,0,1,0,-0.23350254243904178
TXN004743,33.15032002336186,9,19.22054842618793,0.2583465705195255,2,0,764,0,0,0,2026-02-16 09:35:00,3.5307719570815834,0,0,0,1,0,-0.23091816577583218
TXN004522,66.57415592759995,9,16.656727178687067,0.2011695679075072,3,0,771,0,0,0,2026-01-15 09:32:00,4.213225601186977,0,0,0,1,0,-0.23282322117807175
TXN006341,18.140945441234383,14,6.558912450883756,0.163528170848469,5,1,1462,0,0,0,2026-02-12 14:53:00,2.9518297808986116,0,0,0,1,0,-0.23993683120773968
TXN000577,38.59603159517831,17,11.784112048251515,0.4509242351580577,4,0,441,1,0,0,2026-03-04 17:55:00,3.6787289009958806,0,0,0,1,0,-0.22840050857842842
TXN005203,36.49394871745592,10,7.294496694632103,0.61478216046537,5,1,344,0,0,0,2026-02-26 10:06:00,3.6241795524207148,0,0,0,1,0,-0.19675462460380194
TXN006364,51.62923400798499,12,10.299516480755356,0.295618354571637,3,0,1888,1,0,0,2026-01-22 12:43:00,3.9632717449748593,0,0,0,1,0,-0.24698107042604472
TXN000440,31.941113221994197,20,3.1047739741426312,0.2145898941061464,2,0,1902,1,0,0,2026-01-14 20:15:00,3.4947215196245307,0,0,0,1,0,-0.22001644097825368
TXN002751,103.65408026497228,15,4.968861900289877,0.3820358132731668,3,0,1218,1,0,0,2026-02-22 15:06:00,4.650660437763775,0,0,0,1,0,-0.22965353240141068
TXN007488,44.68780836887623,10,3.5679692459787344,0.150697717120947,4,1,1348,1,0,0,2026-03-08 10:31:00,3.821831487011186,0,0,0,1,0,-0.22010082731725938
TXN005273,15.183033353919104,13,6.378327551495432,0.2556225201220776,4,0,177,0,0,0,2026-01-20 13:22:00,2.7839633695793466,0,0,0,1,0,-0.24326063980069645
TXN005654,68.94822489720084,10,5.700059556668221,0.1869962848698866,4,0,1871,0,0,0,2026-03-02 10:02:00,4.2477553240518375,0,0,0,1,0,-0.2472060003221606
TXN004000,41.86378483480463,20,4.8619133760973705,0.3050955464637037,4,0,940,1,0,0,2026-02-27 20:53:00,3.7580272930715837,0,0,0,1,0,-0.24254387034655867
TXN006034,18.560083730528863,18,1.6812750997148078,0.2437053132666838,3,0,99,0,0,0,2026-02-24 18:41:00,2.973490945299394,0,0,0,1,0,-0.22725951651354243
TXN000583,49.96427314721058,18,7.388051601078007,0.559098970682008,2,0,220,0,1,0,2026-02-12 18:42:00,3.931124860715685,0,0,0,1,0,-0.12212861855709645
TXN009931,380.57004619877335,23,243.7892880614597,0.7601273375268002,17,10,233,3,0,1,2026-02-23 23:30:00,5.944294441206982,1,1,1,-1,1,0.08195226297727953
TXN007052,42.92029978066283,7,6.597983050299497,0.4904696915044951,2,1,894,0,0,0,2026-03-21 07:42:00,3.782376622785058,0,0,0,1,0,-0.20765158307917742
TXN008159,43.96377323903864,21,4.386209232310137,0.2451675851870105,2,0,907,1,0,0,2026-02-06 21:39:00,3.8058571264198253,0,0,0,1,0,-0.21904392945532852
TXN009897,304.3203868685861,4,39.588310554257525,0.7960609900252166,21,3,176,1,1,1,2026-03-03 04:43:00,5.721361674021653,1,1,0,-1,1,0.03749054210263125
TXN002250,60.28435231238856,20,4.1707139765848895,0.1954862795359648,3,1,2391,0,0,0,2026-01-28 20:36:00,4.1155245462847825,0,0,0,1,0,-0.21562066895396848
TXN004641,56.209599905082655,8,0.7924626112609511,0.4106088693482532,6,2,521,1,1,0,2026-03-29 08:18:00,4.046721714812226,0,0,0,1,0,-0.06407916098171773
TXN009486,76.85223846181347,8,11.56263861595386,0.3301431242776066,4,0,339,0,0,0,2026-01-23 08:28:00,4.354812651390248,0,0,0,1,0,-0.2303612125303845
TXN004948,13.908540911591224,11,3.9693752470585695,0.1481984042500206,3,1,1349,0,0,0,2026-01-24 11:24:00,2.7019342642691737,0,0,0,1,0,-0.22460493341113075
TXN009921,1492.8788286933373,5,87.82652992571246,0.750673453803583,14,4,234,4,0,1,2026-01-31 05:44:00,7.3091312571112725,1,1,1,-1,1,0.03582358350970771
TXN001964,50.36971647360756,8,10.459717151596797,0.2230005778663076,2,0,2205,1,0,0,2026-03-11 08:52:00,3.9390488251648903,0,0,0,1,0,-0.21179659334424283
TXN008244,79.05034198974799,18,3.1644869337072232,0.2119308311187241,3,0,2464,0,0,0,2026-02-02 18:39:00,4.382655711635322,0,0,0,1,0,-0.2192760144780016
TXN006591,28.781659687635265,12,20.44601663008782,0.3290684914174542,2,0,1102,0,0,0,2026-01-06 12:32:00,3.393892757322634,0,0,0,1,0,-0.23416622860653852
TXN008848,35.835882350403466,12,1.9191682253517035,0.3722712759256207,5,0,1942,1,0,0,2026-02-19 12:06:00,3.6064724339785577,0,0,0,1,0,-0.23609722259826393
